ID,SQ1,DQ2,DQ3,Q1,Q2A_1,Q2B_1,Q3_1_1,Q3_1_2,Q3_2_1,Q3_2_2,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_9997,Q6,Q7A_1,Q7A_2,Q7A_3,Q7B_1,Q7B_2,Q7B_3,Q8,Q9A_1,Q9B_1,Q10,Q11A_1,Q11A_2,Q11A_3,Q11B_1,Q11B_2,Q11B_3,Q12_1_1,Q12_1_2,Q12_2_1,Q12_2_2,Q13,Q14A_1,Q14B_1,Q15_1_1,Q15_1_2,Q15_2_1,Q15_2_2,Q17,Q18A_1,Q18A_2,Q18A_3,Q18B_1,Q18B_2,Q18B_3,Q19_1_1,Q19_1_2,Q19_2_1,Q19_2_2,Q20,Q21A_1,Q21B_1,Q22_1_1,Q22_1_2,Q22_2_1,Q22_2_2,Q24_1,Q24_2,Q24_9998,Q25A_1,Q25A_2,Q25B_1,Q25B_2,Q26_1,Q26_2,Q26_9998,Q27A_1,Q27A_2,Q27B_1,Q27B_2,Q28_1,Q28_2,Q28_9998,Q29A_1,Q29A_2,Q29B_1,Q29B_2,Q31_1,Q31_2,Q31_9998,Q32A_1,Q32A_2,Q32B_1,Q32B_2,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Q34_7,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q37,Q38A_1,Q38B_1,Q40,Q41A_1,Q41B_1,Q43,Q44A_1,Q44B_1,Q46,Q47A_1,Q47B_1,Q49,Q50A_1,Q50B_1,Q52,Q53A_1,Q53B_1,Q55,Q56A_1,Q56B_1,Q58,Q59A_1,Q59B_1,Q61,Q62A_1,Q62B_1,Q64,Q65A_1,Q65B_1,Q67,Q68A_1,Q68B_1,Q69,Q70A_1,Q70B_1,Q75A_1,Q75A_2,Q75A_3,Q75B_1,Q75B_2,Q75B_3,Q75C_1,Q75C_2,Q75C_3,Q75D_1,Q75D_2,Q75D_3,Q76,Q77_1,Q77_2,Q77_3,Q77_4,Q77_5,Q78_1,Q78_2,Q78_3,Q78_4,Q78_5,Q78_6,Q78_7,Q79_1,Q79_2,Q80_1,Q80_2,Q80_3,Q81_1,Q81_2,Q81_3,Q81_4,Q81_5,Q81_6,Q81_7,Q81_8,Q81_9,Q82_1,Q82_2,Q82_3,Q82_4,Q82_5,Q82_6,Q82_7,Q82_8,Q82_9,Q83_1,Q83_2,Q83_3,Q83_4,Q83_5,Q83_6,Q83_7,Q83_8,Q84_1,Q84_2,Q84_3,Q84_4,Q85_1,Q85_2,Q85_3,Q85_4,Q86_1,Q86_2,Q86_3,Q86_4,Q87_1,Q87_2,Q87_3,Q87_4,Q87_5,Q87_6,Q87_7,Q87_8,Q87_9,Q87_10,Q88,Q89,Q89_1,Q90_1,Q90_2,Q90_3,Q90_4,BQ1_1,BQ1_2,BQ2,BQ3,BQ4,BQ5,BQ6,BQ7,BQ8,BQ9,BQ10,WT
1010,1,2,34,2, , , , , , , , , , , , ,1,0,0,2,1,0,0,2, , ,1,5,0,0,2,0,0,1,0,3,30,2, , , , , , ,2, , , , , , , , , , ,2, , , , , , ,1,2, ,5,5,2,0,1,2, ,3,5,2,0,1,2, ,5,5,2,0,1,2, ,5,5,2,0,4,5,4,4,4,5,4,2,2,2,2,2,2,1,5,2,2, , ,1,5,2,2, , ,1,5,2,2, , ,1,5,2,2, , ,1,3,2,2, , ,2, , ,2, , ,2,1,2,2,2,2,2,2,2,2,2,2,5,4,5,4,4,5,4,5,5,4,3,3,2,4,4,3,2,5,4,5,4,3,5,5,4,4,4,4,5,4,3,5,5,5,5,5,2,4,4,4,4,4,4,2,1,1,2,2,5, , , ,4,5,4,5,4,4,5,4,5,5,3,5,3,1,4,2,2,1,2,1,2,3,1,2,2,6,8,3,3,2,1,2,1.56845150298818
1014,1,2,36,2, , , , , , , , , , , , ,2, , , , , , , , , ,1,3,2,0,2,0,0,1,30,2,0,2, , , , , , ,1,5,0,0,0,0,0,1,0, , ,2, , , , , , ,1,2, ,5,5,2,0, , ,9998, , , , ,1,2, ,5,5,2,0, , , , , , , , , , , , , , ,2,2,2,2,2,2,1,5,2,2, , ,1,5,2,2, , ,1,5,2,2, , ,1,5,2,2, , ,1,5,2,2, , ,2, , ,2, , ,2,2,2,2,2,2,2,2,2,2,2,2,9998,3,4,4,5,4,4,4,4,5,3,3,2,5,5,3,1,5,4,5,4,4,5,5,5,4,4,4,5,4,4,5,5,5,2,2,1,5,5,5,3,4,5,1,1,1,2,2, , , , ,5,5,5,5,4,4,4,4,4,4,4,5,4,2,5,2,2,1,1,2,2,4,2,2,3,10,8,3,2,1,2,2,1.56845150298818
1017,1,1,36,2, , , , , , , , , , , , ,2, , , , , , , , , ,1,5,0,0,2,0,0,2,0,4,30,1,5,2,0,40,1,0,2, , , , , , , , , , ,2, , , , , , ,1,2, ,5,5,2,0,1,2, ,5,3,2,0,1,2, ,5,5,2,0,1,2, ,5,5,2,0,5,4,3,5,4,3,2,2,2,2,2,2,2,1,5,2,2, , ,1,5,2,2, , ,1,5,2,2, , ,2, , ,2, , ,1,5,2,2, , ,2, , ,2, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,5,4,5,4,4,4,5,3,4,3,4,4,3,1,4,4,5,3,3,5,2,2,2,2,4,5,4,2,5,2,2,1,1,2,5,2,3,3,3,3,2,1,2,2,2,4, , , ,4,5,4,5,3,3,5,5,4,5,4,5,3,3,4,2,2,2,1,2,2,1,0,1,3,6,5,2,2,4,1,2,1.2043433106598
1020,1,2,29,2, , , , , , , , , , , , ,1,3,0,3,1,0,0,2, , ,1,3,2,0,2,0,0,1,0,1,0,2, , , , , , ,2, , , , , , , , , , ,2, , , , , , ,1,2, ,5,5,2,2, , ,9998, , , , ,1,2, ,5,5,2,0, , , , , , , , , , , , , , ,2,2,2,2,2,2,1,5,2,2, , ,1,5,2,2, , ,1,5,2,2, , ,1,5,2,2, , ,1,5,2,2, , ,2, , ,2, , ,2,2,2,2,2,2,2,2,2,2,2,2,9998,4,4,4,4,4,4,5,3,4,2,2,2,4,4,2,1,3,4,5,3,3,4,3,3,3,3,4,5,3,3,4,3,3,3,3,2,5,5,5,5,5,5,3,1,9999,9999,9999, , , , ,3,4,5,4,2,2,5,5,5,4,3,5,4,1,3,2,2,2,2,2,2,1,0,1,2,6,3,2,2,1,2,2,.916555531315882
1023,1,1,49,2, , , , , , , , , , , , ,2, , , , , , , , , ,1,5,0,5,2,0,1,3,0,5,0,1,5,2,1,0,1,0,2, , , , , , , , , , ,2, , , , , , ,1,2, ,5,5,2,2, ,2, , ,5, ,1,1,2, ,5,5,2,1, ,2, , ,5, ,1,5,4,4,5,3,4,5,2,2,2,2,2,2,1,5,2,2, , ,1,5,2,2, , ,1,3,2,2, , ,2, , ,2, , ,1,5,2,2, , ,2, , ,2, , ,2,1,2,2,2,2,2,2,2,2,2,2,5,4,5,5,4,5,4,4,5,3,2,2,1,4,4,3,2,4,4,5,4,4,5,4,4,4,4,3,5,3,2,5,2,2,1,2,3,5,5,5,5,4,4,2,1,2,2,2,5, , , ,4,4,5,4,3,3,5,5,5,5,3,5,3,1,4,2,2,1,1,2,2,4,0,2,2,2,9,3,4,3,1,2,3.12358705706778
1027,1,2,43,2, , , , , , , , , , , , ,2, , , , , , , , , ,1,5,0,0,2,0,0,2,0,5,0,2, , , , , , ,2, , , , , , , , , , ,2, , , , , , ,1,2, ,5,4,2,1,1, , ,5, ,2, ,1,2, ,5,4,2,1,1, , ,5, ,2, ,4,4,1,4,1,3,2,2,2,2,2,2,2,1,5,2,2, , ,1,4,2,2, , ,1,5,2,2, , ,1,5,2,2, , ,2, , ,2, , ,2, , ,2, , ,2,1,1,2,2,2,2,2,2,2,2,2,5,3,4,4,4,5,4,4,3,4,3,3,3,4,4,2,1,3,4,5,4,4,5,4,5,3,3,4,5,3,2,5,3,3,2,2,1,4,4,3,2,3,4,1,1,1,2,2,3, , , ,4,4,5,4,3,3,4,5,4,5,4,5,4,4,4,2,2,1,1,2,2,1,0,1,2,3,4,2,3,1,1,2,1.05512801443785
1030,1,1,53,2, , , , , , , , , , , , ,2, , , , , , , , , ,1,5,0,0,2,0,0,2,0,4,0,1,5,2,1,0,1,0,1,0,5,0,0,2,0,10,0,5,0,1,5,1,2,0,1,0,1,2, ,5,5,2,2,1, , ,5, ,2, ,1,2, ,5,5,2,2,1, , ,3, ,1, ,4,4,4,4,3,3,2,1,2,2,2,2,2,1,5,2,2, , ,1,5,1,2, , ,1,4,1,2, , ,2, , ,2, , ,2, , ,2, , ,1,3,0,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,5,4,5,3,1,4,4,3,1,3,4,5,5,3,4,3,2,2,2,4,5,5,3,4,2,2,2,2,2,4,4,3,3,4,3,2,1,2,2,2,5, , , ,4,5,5,5,4,4,5,5,5,5,5,5,4,4,4,2,1,1,2,2,2,4,0,2,2,2,9,3,2,4,1,2,2.24429225012853
1033,1,2,56,2, , , , , , , , , , , , ,2, , , , , , , , , ,1,5,0,0,2,0,0,5,0,9,0,1,5,2,1,0,1,30,1,3,0,0,1,0,0,1,0,1,0,2, , , , , , ,1, , ,5, ,2, , , ,9998, , , , ,1, , ,5, ,2, , , , , , , , , , , , , , , ,2,2,2,2,2,2,1,5,2,2, , ,1,5,2,2, , ,1,5,2,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,5,4,4,3,4,5,2,2,1,4,4,4,2,4,5,5,4,4,4,4,4,3,3,5,5,4,3,2,2,2,2,2,2,4,3,3,2,2,4,1,1,2,2,2, , , , ,4,4,5,4,3,3,4,5,5,5,5,5,4,2,4,2,2,2,2,2,2,3,0,2,2,10,9,3,4,1,1,2,1.65210289705907
1037,1,1,73,1,5,1,3,0,2,0,1, , , , , ,2, , , , , , , , , ,1,5,0,0,2,0,0,4,0,4,0,1,5,2,1,0,1,0,2, , , , , , , , , , ,2, , , , , , ,1, , ,5, ,2, , , ,9998, , , , ,1, , ,4, ,1, , , , , , , , , , , , , , , ,2,2,2,2,2,2,1,5,2,2, , ,2, , ,2, , ,1,3,1,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,4,4,4,4,2,4,3,2,2,2,4,4,1,1,3,5,5,5,4,4,3,2,2,2,5,5,4,4,4,3,2,2,2,2,4,4,3,4,3,2,2,2,2,2,2, , , , ,3,4,4,3,2,2,3,4,3,4,3,5,3,1,4,2,2,1,1,1,2,2,0,1,2,3,4,2,4,4,1,1,1.63678026494622
1040,1,2,72,2, , , , , , , , , , , , ,2, , , , , , , , , ,1,5,0,0,2,0,0,4,0,6,0,2, , , , , , ,1,5,0,0,1,0,0,7,0,7,0,2, , , , , , ,1, , ,5, ,2, , , ,9998, , , , ,1, , ,5, ,2, , , , , , , , , , , , , , , ,2,2,2,2,2,2,1,5,2,2, , ,2, , ,2, , ,1,5,2,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2,2,2,2,2,2,2,2,2,2,2,2,9998,5,4,5,5,5,3,4,4,4,2,1,2,4,4,3,1,4,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2, , , , ,4,5,4,4,4,4,5,5,5,5,5,5,5,3,4,2,2,2,2,2,2,2,0,1,2,2,7,3,3,1,2,2,1.70830538768769
